Data set,All Authors affiliated with Dartmouth College,,,,,,,,,,
Entity,Dartmouth College,,,,,,,,,,
Year range,2013 to >2023,,,,,,,,,,
Types of publications included,all publication types,,,,,,,,,,
Self-citations,included,,,,,,,,,,
,,,,,,,,,,,
Data source,Scopus,,,,,,,,,,
Date last updated,12-Jun-24,,,,,,,,,,
,,,,,,,,,,,
Name,Scholarly Output,Most recent publication,Citations,Citations per Publication,Field-Weighted Citation Impact,h-index,Output in Top 10% Citation Percentiles (field-weighted),Oldest publication (since 1996),Scopus author ID,Scopus author profile,Primary author affiliation
"Cohen, Bruce B.",1,2015,29,29,1.2,21,0,2015,7402977396,https://www.scopus.com/authid/detail.url?authorId=7402977396,Unknown affiliation
"Campbel, John L.",1,2018,1,1,0,1,0,2018,57205718675,https://www.scopus.com/authid/detail.url?authorId=57205718675,Dartmouth College
"Jerome, Neil P.",1,2014,14,14,0.82,15,0,2010,55967570500,https://www.scopus.com/authid/detail.url?authorId=55967570500,Norwegian University of Science and Technology
"Hong, Ja-min",1,2014,1,1,0,1,0,2014,55976156900,https://www.scopus.com/authid/detail.url?authorId=55976156900,Unknown affiliation
"Umemura, Yoshie",1,2015,4,4,0.15,1,0,2015,57211125598,https://www.scopus.com/authid/detail.url?authorId=57211125598,Dartmouth College
"Amos, Ryan",1,2015,7,7,0.08,1,0,2015,56498713800,https://www.scopus.com/authid/detail.url?authorId=56498713800,Dartmouth College
"Green, Guy",1,2020,284,284,32.2,1,1,2020,57205761943,https://www.scopus.com/authid/detail.url?authorId=57205761943,Dartmouth College
"Huan, Tracy Lin",1,2023,1,1,0.47,1,0,2023,58344944900,https://www.scopus.com/authid/detail.url?authorId=58344944900,Dartmouth College
"Brown, Madeleine G.",1,2022,7,7,0.46,1,0,2022,57479706100,https://www.scopus.com/authid/detail.url?authorId=57479706100,Unknown affiliation
"Sporn, Michael B.",1,2020,0,0,0,0,0,2020,57218250139,https://www.scopus.com/authid/detail.url?authorId=57218250139,Dartmouth College
"D'Oria, Robyn",1,2019,37,37,3.27,10,1,2019,56602876400,https://www.scopus.com/authid/detail.url?authorId=56602876400,Unknown affiliation
"Liu, Minda",1,2022,0,0,0,0,0,2022,57563093600,https://www.scopus.com/authid/detail.url?authorId=57563093600,Dartmouth College
"Dong, Haoyang",1,2024,3,3,9.09,1,1,2024,58704744400,https://www.scopus.com/authid/detail.url?authorId=58704744400,Dartmouth College
"Fyda, Thomas Jacob",1,2020,32,32,1.83,1,0,2020,58115648900,https://www.scopus.com/authid/detail.url?authorId=58115648900,Dartmouth College
"Gongy, Jun",1,2017,0,0,0,0,0,2017,57195201526,https://www.scopus.com/authid/detail.url?authorId=57195201526,Dartmouth College
"Baker, Ellie",1,2022,0,0,0,0,0,2022,58627438500,https://www.scopus.com/authid/detail.url?authorId=58627438500,Dartmouth College
"Weeks, Marjorie",1,2015,37,37,1.62,1,0,2015,56926291800,https://www.scopus.com/authid/detail.url?authorId=56926291800,Dartmouth College
"Miao, Yan",1,2021,1,1,0.13,1,0,2021,57222747507,https://www.scopus.com/authid/detail.url?authorId=57222747507,Unknown affiliation
"Vigo, Daniele",1,2024,1,1,1.49,45,0,2024,7004088556,https://www.scopus.com/authid/detail.url?authorId=7004088556,University of Bologna
"Lee, Min-kyung",1,2021,12,12,1,31,0,2021,35573951200,https://www.scopus.com/authid/detail.url?authorId=35573951200,University of Texas at Austin
"Keiser, Kristofer J.",1,2020,1,1,0.06,1,0,2020,56650851800,https://www.scopus.com/authid/detail.url?authorId=56650851800,Dartmouth College
"Goldthree, Reena N.",1,2017,2,2,2.36,1,1,2017,57191180731,https://www.scopus.com/authid/detail.url?authorId=57191180731,Dartmouth College
"Fricano, Catherine J.",1,2014,18,18,0.68,2,0,2011,57199516472,https://www.scopus.com/authid/detail.url?authorId=57199516472,Dartmouth College
"Pereira, Daniel Castro",1,2015,0,0,0,0,0,2015,57197021953,https://www.scopus.com/authid/detail.url?authorId=57197021953,Dartmouth College
"Dolkart, Kenneth M.",1,2015,16,16,0.48,1,0,2015,56521571600,https://www.scopus.com/authid/detail.url?authorId=56521571600,Dartmouth College
"Afonina, Natalie",1,2018,20,20,0.84,1,0,2018,57200526154,https://www.scopus.com/authid/detail.url?authorId=57200526154,Dartmouth College
"Boyce, Philip M.",1,2023,15,15,8.64,46,1,2023,7103152342,https://www.scopus.com/authid/detail.url?authorId=7103152342,University of Sydney
"Stablein, Timothy",1,2013,7,7,0.06,7,0,2011,37125011000,https://www.scopus.com/authid/detail.url?authorId=37125011000,Union College
"Walser, Robert",1,2017,2,2,0,1,0,2017,58822517400,https://www.scopus.com/authid/detail.url?authorId=58822517400,"University of Michigan, Ann Arbor"
"Moskalev, Nikolai V.",1,2020,2,2,0.17,8,0,2002,59016330200,https://www.scopus.com/authid/detail.url?authorId=59016330200,Unknown affiliation
"Goebel-Bain, Rowan M.",1,2023,0,0,0,0,0,2023,58509027100,https://www.scopus.com/authid/detail.url?authorId=58509027100,Dartmouth College
"Ya, Amanda",1,2023,3,3,1.31,2,0,2023,57221348479,https://www.scopus.com/authid/detail.url?authorId=57221348479,Dartmouth College
"Martinez, Michelle N.",1,2018,31,31,1.36,2,0,2018,57196005829,https://www.scopus.com/authid/detail.url?authorId=57196005829,University of Houston
"Norton, Mary E.",1,2019,19,19,1.31,50,0,2019,7201553937,https://www.scopus.com/authid/detail.url?authorId=7201553937,University of California at San Francisco
"Calagua-Bedoya, Eduardo Andres",1,2023,0,0,0,0,0,2023,58059806300,https://www.scopus.com/authid/detail.url?authorId=58059806300,Icahn School of Medicine at Mount Sinai
"Trembly, Stuart B.",1,2017,12,12,1,1,0,2017,57195931846,https://www.scopus.com/authid/detail.url?authorId=57195931846,Dartmouth College
"Bell, Rebecca",1,2022,1,1,0.22,1,0,2022,57870980100,https://www.scopus.com/authid/detail.url?authorId=57870980100,Dartmouth College
"Pashchenko, Oleksandra",1,2024,0,0,0,0,0,2024,58937400300,https://www.scopus.com/authid/detail.url?authorId=58937400300,Dartmouth College
"Ma, Yuchuan",1,2023,0,0,0,0,0,2023,58866038500,https://www.scopus.com/authid/detail.url?authorId=58866038500,Dartmouth College
"Purohit, Rujuta A.",1,2024,0,0,0,0,0,2024,58976604200,https://www.scopus.com/authid/detail.url?authorId=58976604200,Northwestern University
"Taha, Muhammad",1,2023,8,8,3.05,1,1,2023,58095036600,https://www.scopus.com/authid/detail.url?authorId=58095036600,Dartmouth College
"Deveau, Nicholas H.",1,2019,4,4,0.24,1,0,2019,57211123546,https://www.scopus.com/authid/detail.url?authorId=57211123546,Dartmouth College
"Remsen, Sara E.",1,2015,32,32,1.15,1,0,2015,56655104900,https://www.scopus.com/authid/detail.url?authorId=56655104900,Unknown affiliation
"Wong, Jordan A.",1,2022,1,1,0.28,2,0,2022,55991546600,https://www.scopus.com/authid/detail.url?authorId=55991546600,Dartmouth College
"Velasquez, Adrian G.",1,2015,43,43,3.1,4,1,2015,36477906700,https://www.scopus.com/authid/detail.url?authorId=36477906700,University of California at San Diego
"Newton, Laura E.",1,2022,1,1,0.36,1,0,2022,57941325200,https://www.scopus.com/authid/detail.url?authorId=57941325200,Department of Veterans Affairs
"Hogan, Benjamin",1,2020,6,6,0.5,3,0,2020,57221051567,https://www.scopus.com/authid/detail.url?authorId=57221051567,Unknown affiliation
"Douville, Karen L.",1,2013,7,7,0.19,10,0,2001,6603150897,https://www.scopus.com/authid/detail.url?authorId=6603150897,Dartmouth College
"Alston, Grace C.",1,2021,13,13,2.1,1,0,2021,57372477700,https://www.scopus.com/authid/detail.url?authorId=57372477700,Dartmouth College
"Goyette, Andrew R.",1,2022,11,11,1.22,1,0,2022,57947239800,https://www.scopus.com/authid/detail.url?authorId=57947239800,Dartmouth College
"Ryan, Kathleen A.",1,2021,18,18,2.01,1,0,2021,57645854200,https://www.scopus.com/authid/detail.url?authorId=57645854200,University of Virginia
"Batra, Jaya",1,2018,4,4,0.07,1,0,2018,57201339135,https://www.scopus.com/authid/detail.url?authorId=57201339135,Dartmouth College
"Isaacson, Julia Elizabeth",1,2014,19,19,0.88,2,0,2014,56400533500,https://www.scopus.com/authid/detail.url?authorId=56400533500,Duke University
"Babineau, Matthew R.",1,2018,16,16,0.92,6,0,2018,23484297300,https://www.scopus.com/authid/detail.url?authorId=23484297300,Unknown affiliation
"Getraer, Alexander",1,2023,0,0,0,2,0,2023,57222021540,https://www.scopus.com/authid/detail.url?authorId=57222021540,Princeton University
"Hall, Lucinda M.",1,2016,1,1,0,1,0,2004,57193280314,https://www.scopus.com/authid/detail.url?authorId=57193280314,Dartmouth College
"Sun, Yifei",1,2021,9,9,1.37,1,0,2021,57282419100,https://www.scopus.com/authid/detail.url?authorId=57282419100,Dartmouth College
"Dee, Edward Christopher",1,2020,0,0,0,17,0,2020,57202136994,https://www.scopus.com/authid/detail.url?authorId=57202136994,Memorial Sloan-Kettering Cancer Center
"Helble, Joseph J.",1,2013,0,0,0,22,2,2007,6603855515,https://www.scopus.com/authid/detail.url?authorId=6603855515,Dartmouth College
"Posmentiera, Eric S.",1,2016,108,108,2.57,1,1,2016,57039270000,https://www.scopus.com/authid/detail.url?authorId=57039270000,Unknown affiliation
"Spanos, Katherine E.",1,2020,4,4,0.33,3,0,2020,57221848975,https://www.scopus.com/authid/detail.url?authorId=57221848975,Pennsylvania State University
"Molloy, Michael J.",1,2016,18,18,0.94,12,1,2008,24067287300,https://www.scopus.com/authid/detail.url?authorId=24067287300,Unknown affiliation
"Haff, Madeleine G.",1,2019,13,13,0.83,1,0,2019,57211496247,https://www.scopus.com/authid/detail.url?authorId=57211496247,Dartmouth College
"Dhawan, Natasha",1,2024,1,1,2.73,5,0,2024,57219697023,https://www.scopus.com/authid/detail.url?authorId=57219697023,Dartmouth College
"Kleyman, Marianna",1,2014,29,29,0.7,8,0,2014,24598038900,https://www.scopus.com/authid/detail.url?authorId=24598038900,Bicycle Therapeutics
"Krzyzanowska, Monika K.",1,2016,113,113,7.34,47,1,2016,6603412875,https://www.scopus.com/authid/detail.url?authorId=6603412875,University of Toronto
"Min, Kyungguk",1,2019,46,46,2.71,18,1,2019,36537604900,https://www.scopus.com/authid/detail.url?authorId=36537604900,Chungnam National University
"Acheson, Anupama Kurup",1,2016,113,113,7.34,4,1,2016,56278283100,https://www.scopus.com/authid/detail.url?authorId=56278283100,Unknown affiliation
"Schuetze, Brendan A.",1,2019,6,6,0.4,6,0,2019,57209203772,https://www.scopus.com/authid/detail.url?authorId=57209203772,University of Potsdam
"Katz, David C.",1,2023,0,0,0,45,0,2023,56591614400,https://www.scopus.com/authid/detail.url?authorId=56591614400,CNRS
"Katz, David C.",1,2023,0,0,0,45,0,2023,56591614400,https://www.scopus.com/authid/detail.url?authorId=56591614400,Observatoire de Paris
"Katz, David C.",1,2023,0,0,0,45,0,2023,56591614400,https://www.scopus.com/authid/detail.url?authorId=56591614400,Université Paris Cité
"Katz, David C.",1,2023,0,0,0,45,0,2023,56591614400,https://www.scopus.com/authid/detail.url?authorId=56591614400,Université PSL
"Fairless, Elizabeth A.",1,2017,15,15,0.52,3,0,2017,57210962123,https://www.scopus.com/authid/detail.url?authorId=57210962123,University of Oklahoma
"Sun, Michael",1,2021,16,16,1.63,8,0,2021,56921060800,https://www.scopus.com/authid/detail.url?authorId=56921060800,University of California at Los Angeles
"Tsai, Jack",1,2022,14,14,2.85,43,1,2022,35590808700,https://www.scopus.com/authid/detail.url?authorId=35590808700,University of Pennsylvania
"Tsai, Jack",1,2022,14,14,2.85,43,1,2022,35590808700,https://www.scopus.com/authid/detail.url?authorId=35590808700,University of South Florida
"Levy, Douglas E.",1,2023,3,3,1.73,31,0,2023,23094728200,https://www.scopus.com/authid/detail.url?authorId=23094728200,Massachusetts General Hospital
"Pepe, Margaret Sullivan",1,2018,24,24,1.81,57,0,2018,7102897946,https://www.scopus.com/authid/detail.url?authorId=7102897946,Fred Hutchinson Cancer Research Center
"Pirruccello, Jonathan",1,2024,0,0,0,1,0,2024,57967858800,https://www.scopus.com/authid/detail.url?authorId=57967858800,Dartmouth College
"Li, Judy Y.",1,2022,5,5,0.88,1,0,2022,57647157600,https://www.scopus.com/authid/detail.url?authorId=57647157600,Dartmouth College
"Chen, Qianwen",1,2018,7,7,1.35,1,0,2018,57219619925,https://www.scopus.com/authid/detail.url?authorId=57219619925,Dartmouth College
"Wang, Xi Dylan",1,2016,0,0,0,0,0,2016,57215879571,https://www.scopus.com/authid/detail.url?authorId=57215879571,Dartmouth College
"Liao, Stephen K.",1,2019,5,5,0.42,1,0,2019,57208188665,https://www.scopus.com/authid/detail.url?authorId=57208188665,Dartmouth College
"Dorman, Dana B.",1,2013,33,33,0.89,6,0,2013,55235713000,https://www.scopus.com/authid/detail.url?authorId=55235713000,Dartmouth College
"Wu, Esther",1,2017,42,42,2.23,1,0,2017,57195431353,https://www.scopus.com/authid/detail.url?authorId=57195431353,Dartmouth College
"Shea, Yvonne M.",1,2020,5,5,0.29,1,0,2020,57218255347,https://www.scopus.com/authid/detail.url?authorId=57218255347,Dartmouth College
"Geno, Aaron",1,2023,0,0,0,1,0,2023,57218882619,https://www.scopus.com/authid/detail.url?authorId=57218882619,Dartmouth College
"Alomepe, Beverly S.",1,2015,8,8,0.78,1,0,2015,56716290300,https://www.scopus.com/authid/detail.url?authorId=56716290300,Unknown affiliation
"Frederick, Armina Lyn M.",1,2021,6,6,0.5,3,0,2021,57204930883,https://www.scopus.com/authid/detail.url?authorId=57204930883,Dartmouth College
"Bonner, Robert E.",1,2016,0,0,0,3,0,2009,7005597005,https://www.scopus.com/authid/detail.url?authorId=7005597005,Dartmouth College
"Germain, Cassandra M.",1,2016,16,16,0.79,14,0,2016,8591382000,https://www.scopus.com/authid/detail.url?authorId=8591382000,University of North Carolina at Greensboro
"Spring, Mitchell G.",1,2022,5,5,0.48,3,0,2022,57038417600,https://www.scopus.com/authid/detail.url?authorId=57038417600,Dartmouth College
"He, Xiaoyan",1,2020,10,10,0.67,18,0,2020,36177584500,https://www.scopus.com/authid/detail.url?authorId=36177584500,Chongqing Medical University
"Conry, Jeanne A.",1,2013,3,3,0.43,13,0,2013,24452519700,https://www.scopus.com/authid/detail.url?authorId=24452519700,Unknown affiliation
"Fu, Feng",1,2022,1,1,0.24,1,0,2022,57855573600,https://www.scopus.com/authid/detail.url?authorId=57855573600,Unknown affiliation
"Lucero, Danielle D.",1,2023,0,0,0,1,0,2023,58579744900,https://www.scopus.com/authid/detail.url?authorId=58579744900,Dartmouth College
"Esterman, Emma S.",1,2021,28,28,2.5,4,1,2021,57222228231,https://www.scopus.com/authid/detail.url?authorId=57222228231,Unknown affiliation
"Carr, Brandon",1,2016,7,7,0.56,2,0,2016,57193453234,https://www.scopus.com/authid/detail.url?authorId=57193453234,Dartmouth College
"Gardner, Juli Anne",1,2016,12,12,0.99,4,0,2016,57193690283,https://www.scopus.com/authid/detail.url?authorId=57193690283,University of Vermont
"Oddleifson, D. August",1,2017,8,8,0.71,2,0,2017,56892781400,https://www.scopus.com/authid/detail.url?authorId=56892781400,Beth Israel Deaconess Medical Center
"Bryan, Yvon F.",1,2023,0,0,0,9,0,2023,57203336169,https://www.scopus.com/authid/detail.url?authorId=57203336169,Unknown affiliation
"Bunnell, Megan E.",1,2020,3,3,0.16,1,0,2020,58578388800,https://www.scopus.com/authid/detail.url?authorId=58578388800,Unknown affiliation
"Chavez, Afton",1,2015,9,9,0.71,1,0,2015,58822093100,https://www.scopus.com/authid/detail.url?authorId=58822093100,Dartmouth College
"Sulca, Debbie",1,2023,4,4,1.55,2,0,2023,57353441400,https://www.scopus.com/authid/detail.url?authorId=57353441400,Dartmouth College
"Cruise, Ian",1,2020,1,1,0,1,0,2020,57686740500,https://www.scopus.com/authid/detail.url?authorId=57686740500,Dartmouth College
"Anderson, Natalie A.",1,2023,8,8,6.14,1,1,2023,58498610000,https://www.scopus.com/authid/detail.url?authorId=58498610000,Dartmouth College
"Venegas, Maria",1,2019,5,5,0.47,1,0,2019,57204534792,https://www.scopus.com/authid/detail.url?authorId=57204534792,University of Rochester
"Porras, José Luis Martínez",1,2016,1,1,0,10,0,2016,57189738737,https://www.scopus.com/authid/detail.url?authorId=57189738737,Universidad Autónoma de Madrid
"Corey, Alex W.",1,2018,0,0,0,0,0,2018,57205111665,https://www.scopus.com/authid/detail.url?authorId=57205111665,Harvard University
"Jubeir, Mitchell",1,2024,0,0,0,0,0,2024,58173152000,https://www.scopus.com/authid/detail.url?authorId=58173152000,Unknown affiliation
"Tang, Yiwen",1,2020,4,4,0.47,1,0,2020,57219115213,https://www.scopus.com/authid/detail.url?authorId=57219115213,National Taiwan University
"Cheng, William",1,2017,7,7,0.58,1,0,2017,57192954492,https://www.scopus.com/authid/detail.url?authorId=57192954492,Dartmouth College
"Aubrey, Brianna",1,2022,0,0,0,0,0,2022,58068898000,https://www.scopus.com/authid/detail.url?authorId=58068898000,Dartmouth College
"Stehr, Daniel",1,2024,0,0,0,0,0,2024,58954159100,https://www.scopus.com/authid/detail.url?authorId=58954159100,Dartmouth College
"Jones, Matthew I.",1,2022,0,0,0,0,0,2022,57880191400,https://www.scopus.com/authid/detail.url?authorId=57880191400,Unknown affiliation
"Douville, Deborah",1,2014,65,65,2.71,1,1,2014,56116920400,https://www.scopus.com/authid/detail.url?authorId=56116920400,Dartmouth College
"Bien, Elizabeth A.",1,2023,1,1,0.57,4,0,2023,57203229402,https://www.scopus.com/authid/detail.url?authorId=57203229402,Harvard University
"Benites, Ofelia Tacchelly",1,2019,5,5,0.6,1,0,2019,57207911277,https://www.scopus.com/authid/detail.url?authorId=57207911277,Dartmouth College
"Langdon, Erin M.",1,2015,497,497,12.61,11,1,2015,57201641043,https://www.scopus.com/authid/detail.url?authorId=57201641043,University of North Carolina at Chapel Hill
"Kim, P. J.",1,2017,35,35,1.98,1,0,2017,57193206101,https://www.scopus.com/authid/detail.url?authorId=57193206101,Dartmouth College
"Zhang, Xiaoping",1,2017,53,53,1.12,1,0,2017,59074878900,https://www.scopus.com/authid/detail.url?authorId=59074878900,Unknown affiliation
"Goldstein, Elizabeth S.R.",1,2014,15,15,0.82,2,0,2012,55418377300,https://www.scopus.com/authid/detail.url?authorId=55418377300,Dartmouth College
"Pratt, Patricia Gayle",1,2013,71,71,1.71,7,0,2013,12773016700,https://www.scopus.com/authid/detail.url?authorId=12773016700,University of Cincinnati
"Youngren, Kimberly",1,2021,2,2,0.52,1,0,2021,57406214000,https://www.scopus.com/authid/detail.url?authorId=57406214000,Dartmouth College
"Raman, Nikita",1,2020,20,20,1.32,2,0,2020,57211405099,https://www.scopus.com/authid/detail.url?authorId=57211405099,University of Pittsburgh
"Weber, Nicholas",1,2018,7,7,0.48,1,0,2018,57203484800,https://www.scopus.com/authid/detail.url?authorId=57203484800,Dartmouth College
"Thomas, John",1,2021,0,0,0,0,0,2021,57372805300,https://www.scopus.com/authid/detail.url?authorId=57372805300,Dartmouth College
"Casey, Leah",1,2022,0,0,0,0,0,2022,57224542156,https://www.scopus.com/authid/detail.url?authorId=57224542156,Dartmouth College
"Goodman, Marc T.",1,2016,0,0,0,98,0,2016,7401997536,https://www.scopus.com/authid/detail.url?authorId=7401997536,Cedars-Sinai Medical Center
"McLeod, Jack R.",1,2021,5,5,0.47,1,0,2021,57276305400,https://www.scopus.com/authid/detail.url?authorId=57276305400,Dartmouth College
"Kesselheim, Aaron Seth",1,2020,577,577,45.3,62,1,2020,6506525459,https://www.scopus.com/authid/detail.url?authorId=6506525459,Harvard University
"Livesey, Erin D.",1,2016,164,164,4,1,1,2016,57189716235,https://www.scopus.com/authid/detail.url?authorId=57189716235,Dartmouth College
"Jacques, Steven L.",1,2018,14,14,0.24,51,0,2018,7101952465,https://www.scopus.com/authid/detail.url?authorId=7101952465,Unknown affiliation
"Canning, Caroline E.",1,2019,12,12,0.94,2,0,2019,57219815169,https://www.scopus.com/authid/detail.url?authorId=57219815169,The Children's Hospital of Philadelphia
"Canning, Caroline E.",1,2019,12,12,0.94,2,0,2019,57219815169,https://www.scopus.com/authid/detail.url?authorId=57219815169,University of Pennsylvania
"Raether, Amelia",1,2020,2,2,0.27,1,0,2020,57215097021,https://www.scopus.com/authid/detail.url?authorId=57215097021,Dartmouth College
"Phillips, Tristan",1,2024,1,1,7.7,1,1,2024,57191580757,https://www.scopus.com/authid/detail.url?authorId=57191580757,Unknown affiliation
"Larson, Grant M.",1,2023,2,2,0.75,6,0,2023,57201797036,https://www.scopus.com/authid/detail.url?authorId=57201797036,Dartmouth College
"van Houten, Judith L.",1,2016,41,41,1.13,18,0,2016,7006927168,https://www.scopus.com/authid/detail.url?authorId=7006927168,University of Vermont
"Gilmour, Aislinn J.",1,2024,0,0,0,0,0,2024,58809792200,https://www.scopus.com/authid/detail.url?authorId=58809792200,Dartmouth College
"Smith, Gwenn S.",1,2019,5,5,0.47,46,0,2019,55391430300,https://www.scopus.com/authid/detail.url?authorId=55391430300,Johns Hopkins University
"Macpherson, Lynn H.",1,2017,16,16,0.9,1,0,2017,57195599307,https://www.scopus.com/authid/detail.url?authorId=57195599307,Dartmouth College
"Baum, Mark M.",1,2018,20,20,0.68,3,0,2018,57201549764,https://www.scopus.com/authid/detail.url?authorId=57201549764,Harvard University
"Yasui, Minami",1,2017,17,17,0.57,11,0,2017,7102198034,https://www.scopus.com/authid/detail.url?authorId=7102198034,Kobe University
"Wasdahl, Alexander",1,2019,13,13,1.4,1,0,2019,57210860320,https://www.scopus.com/authid/detail.url?authorId=57210860320,Dartmouth College
"Young, Laura D.",1,2014,9,9,0.41,1,0,2014,56179540500,https://www.scopus.com/authid/detail.url?authorId=56179540500,Dartmouth College
"May, Emily",1,2023,2,2,1.42,1,0,2023,58162181400,https://www.scopus.com/authid/detail.url?authorId=58162181400,University of Connecticut
"Tauber, Karissa S.",1,2019,42,42,2.89,13,1,2019,57190748352,https://www.scopus.com/authid/detail.url?authorId=57190748352,University of Pennsylvania
"Chakroun, Khouloud",1,2019,18,18,0.92,4,0,2019,57204354493,https://www.scopus.com/authid/detail.url?authorId=57204354493,Université de Picardie Jules Verne
"Lopez-Aguiar, Alexandra G.N.",1,2014,29,29,1.31,20,0,2012,57195154287,https://www.scopus.com/authid/detail.url?authorId=57195154287,Ohio State University
"Cook, David J.",1,2019,8,8,0.32,7,0,2019,57204511223,https://www.scopus.com/authid/detail.url?authorId=57204511223,The University of Chicago
"Kargas, Margaret R.",1,2023,1,1,0.49,1,0,2023,58082164800,https://www.scopus.com/authid/detail.url?authorId=58082164800,Dartmouth College
"Fukutani, Kiyoshi Ferreira",1,2024,1,1,13.21,1,1,2024,58793470200,https://www.scopus.com/authid/detail.url?authorId=58793470200,Dartmouth College
"Barry Flood, Ann",1,2022,3,3,3.01,1,1,2022,57346862700,https://www.scopus.com/authid/detail.url?authorId=57346862700,Dartmouth College
"Pelzek, Adam J.",1,2016,33,33,1.91,13,0,2016,35074832500,https://www.scopus.com/authid/detail.url?authorId=35074832500,"Thermo Fisher Scientific, Inc."
"Begunova, Yelyzaveta",1,2021,1,1,0.13,1,0,2021,57304570600,https://www.scopus.com/authid/detail.url?authorId=57304570600,Yale University
"Brito, Juan Pablo",1,2014,56,56,0.95,48,0,2014,54405478500,https://www.scopus.com/authid/detail.url?authorId=54405478500,"Mayo Clinic Rochester, MN"
"Bronner, Kristen K.",1,2017,7,7,0.08,7,6,2004,6506910035,https://www.scopus.com/authid/detail.url?authorId=6506910035,Dartmouth College
"Spalding, Zachary T.",1,2018,28,28,1.69,1,0,2018,57204660138,https://www.scopus.com/authid/detail.url?authorId=57204660138,Dartmouth College
"Lampp, John W.",1,2013,90,90,3.45,1,1,2013,55548598200,https://www.scopus.com/authid/detail.url?authorId=55548598200,Unknown affiliation
"Udutha, Anirudh K.",1,2024,0,0,0,1,0,2024,57216229651,https://www.scopus.com/authid/detail.url?authorId=57216229651,Dartmouth College
"Lucas, Kylie",1,2013,23,23,1.15,2,0,2013,55760546100,https://www.scopus.com/authid/detail.url?authorId=55760546100,Unknown affiliation
"Peters, Christopher S.",1,2015,15,15,0.14,8,0,2005,57199774188,https://www.scopus.com/authid/detail.url?authorId=57199774188,Dartmouth College
"Stadlberger, Nick",1,2021,9,9,1.71,1,0,2021,57219651431,https://www.scopus.com/authid/detail.url?authorId=57219651431,Dartmouth College
"Beckett, Lindsey",1,2014,0,0,0,0,0,2014,56095130800,https://www.scopus.com/authid/detail.url?authorId=56095130800,Harvard University
"Ekstrom, Rebecca M.",1,2015,23,23,0.9,1,0,2015,56076429200,https://www.scopus.com/authid/detail.url?authorId=56076429200,Dartmouth College
"Haas, Jennifer S.",1,2014,67,67,2.04,49,0,2014,35447019900,https://www.scopus.com/authid/detail.url?authorId=35447019900,Harvard University
"Bryer, Cheri",1,2024,0,0,0,0,0,2024,57898238600,https://www.scopus.com/authid/detail.url?authorId=57898238600,Dartmouth College
"Feeley, Matthew J.",1,2022,0,0,0,0,0,2022,58148849600,https://www.scopus.com/authid/detail.url?authorId=58148849600,Tufts University
"Klare, Christian M.",1,2018,3,3,0.38,3,0,2018,56986497200,https://www.scopus.com/authid/detail.url?authorId=56986497200,Unknown affiliation
"Chepeliev, Maksym G.",1,2021,5,5,0.48,9,0,2021,57205250996,https://www.scopus.com/authid/detail.url?authorId=57205250996,Purdue University
"Tsai, Sam L.",1,2021,3,3,0.33,1,0,2021,57225967770,https://www.scopus.com/authid/detail.url?authorId=57225967770,Dartmouth College
"Blythe, Noah",1,2024,0,0,0,0,0,2024,59134247200,https://www.scopus.com/authid/detail.url?authorId=59134247200,Dartmouth College
"Egan, Kathleen Marie",1,2015,424,424,12.18,57,1,2015,7005270552,https://www.scopus.com/authid/detail.url?authorId=7005270552,University of South Florida
"Holderness, Britt M.",1,2015,76,76,2.8,4,1,2015,55659189000,https://www.scopus.com/authid/detail.url?authorId=55659189000,Unknown affiliation
"Tower, Dana R.",1,2013,2,2,0.56,1,0,2013,55885946400,https://www.scopus.com/authid/detail.url?authorId=55885946400,Dartmouth College
"Gabrovsky, Alexandar",1,2014,2,2,0.78,1,0,2014,56669731700,https://www.scopus.com/authid/detail.url?authorId=56669731700,Dartmouth College
"DiScipio, Anthony W.",1,2013,15,15,0.58,17,1,2005,8426611200,https://www.scopus.com/authid/detail.url?authorId=8426611200,Unknown affiliation
"Asare, Kwabena Boahen",1,2023,0,0,0,0,0,2023,58582062300,https://www.scopus.com/authid/detail.url?authorId=58582062300,Dartmouth College
"Johnson, Camille",1,2021,21,21,1.37,1,0,2021,57363598600,https://www.scopus.com/authid/detail.url?authorId=57363598600,Dartmouth College
"Parwal, Siddhant",1,2024,0,0,0,0,0,2024,58920021200,https://www.scopus.com/authid/detail.url?authorId=58920021200,Dartmouth College
"Peipert, Daniel",1,2021,3,3,0.3,3,0,2021,57219473537,https://www.scopus.com/authid/detail.url?authorId=57219473537,University of Vermont
"Xue, Haoran",1,2015,24,24,0.67,1,0,2015,57203595276,https://www.scopus.com/authid/detail.url?authorId=57203595276,Unknown affiliation
"Skipper, Thomas A.",1,2023,0,0,0,3,0,2023,57219568937,https://www.scopus.com/authid/detail.url?authorId=57219568937,Brown University
"Lee, Alexander P.",1,2014,11,11,0.24,5,0,2014,56082671100,https://www.scopus.com/authid/detail.url?authorId=56082671100,Alaska Pacific University
"Kennedy, James",1,2014,9,9,1.31,1,0,2014,56435109900,https://www.scopus.com/authid/detail.url?authorId=56435109900,Dartmouth College
"Nutt, Cullen G.",1,2019,1,1,0.46,2,0,2019,53868229300,https://www.scopus.com/authid/detail.url?authorId=53868229300,United States Naval Academy
"Mcnemar, Donald W.",1,2015,0,0,0,0,0,2015,57193709059,https://www.scopus.com/authid/detail.url?authorId=57193709059,Dartmouth College
